Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2024,03,06,June 2024,No,169007000,161774000,7233000,4.30,63.0,60.3,20240306,03202406,0,No,0
United States,000000,00,00,0000000000,US,2024,03,06,June 2024,Yes,168009000,161199000,6811000,4.10,62.6,60.1,20240306,03202406,1,No,0
New Mexico,000000,01,35,3501000000,NM,2024,03,06,June 2024,No,981949,935129,46820,4.80,57.9,55.1,20240306,03202406,2,Yes,1
New Mexico,000000,01,35,3501000000,NM,2024,03,06,June 2024,Yes,972209,934740,37469,3.90,57.3,55.1,20240306,03202406,3,Yes,1
Bernalillo County,000001,04,35,3504000001,NM,2024,03,06,June 2024,No,348837,333546,15291,4.40,,,20240306,03202406,4,Yes,1
Catron County,000003,04,35,3504000003,NM,2024,03,06,June 2024,No,1135,1073,62,5.50,,,20240306,03202406,5,Yes,1
Chaves County,000005,04,35,3504000005,NM,2024,03,06,June 2024,No,27002,25540,1462,5.40,,,20240306,03202406,6,Yes,1
Cibola County,000006,04,35,3504000006,NM,2024,03,06,June 2024,No,8569,8006,563,6.60,,,20240306,03202406,7,Yes,1
Colfax County,000007,04,35,3504000007,NM,2024,03,06,June 2024,No,6197,5956,241,3.90,,,20240306,03202406,8,Yes,1
Curry County,000009,04,35,3504000009,NM,2024,03,06,June 2024,No,22063,21185,878,4.00,,,20240306,03202406,9,Yes,1
De Baca County,000011,04,35,3504000011,NM,2024,03,06,June 2024,No,740,713,27,3.60,,,20240306,03202406,10,Yes,1
Doña Ana County,000013,04,35,3504000013,NM,2024,03,06,June 2024,No,103872,98148,5724,5.50,,,20240306,03202406,11,Yes,1
Eddy County,000015,04,35,3504000015,NM,2024,03,06,June 2024,No,34648,33444,1204,3.50,,,20240306,03202406,12,Yes,1
Grant County,000017,04,35,3504000017,NM,2024,03,06,June 2024,No,12157,11646,511,4.20,,,20240306,03202406,13,Yes,1
Guadalupe County,000019,04,35,3504000019,NM,2024,03,06,June 2024,No,1815,1730,85,4.70,,,20240306,03202406,14,Yes,1
Harding County,000021,04,35,3504000021,NM,2024,03,06,June 2024,No,269,258,11,4.10,,,20240306,03202406,15,Yes,1
Hidalgo County,000023,04,35,3504000023,NM,2024,03,06,June 2024,No,1623,1546,77,4.70,,,20240306,03202406,16,Yes,1
Lea County,000025,04,35,3504000025,NM,2024,03,06,June 2024,No,31259,29777,1482,4.70,,,20240306,03202406,17,Yes,1
Lincoln County,000027,04,35,3504000027,NM,2024,03,06,June 2024,No,9025,8668,357,4.00,,,20240306,03202406,18,Yes,1
Los Alamos County,000028,04,35,3504000028,NM,2024,03,06,June 2024,No,12096,11788,308,2.50,,,20240306,03202406,19,Yes,1
Luna County,000029,04,35,3504000029,NM,2024,03,06,June 2024,No,10648,9492,1156,10.90,,,20240306,03202406,20,Yes,1
McKinley County,000031,04,35,3504000031,NM,2024,03,06,June 2024,No,24018,22440,1578,6.60,,,20240306,03202406,21,Yes,1
Mora County,000033,04,35,3504000033,NM,2024,03,06,June 2024,No,2086,1982,104,5.00,,,20240306,03202406,22,Yes,1
Otero County,000035,04,35,3504000035,NM,2024,03,06,June 2024,No,25257,24022,1235,4.90,,,20240306,03202406,23,Yes,1
Quay County,000037,04,35,3504000037,NM,2024,03,06,June 2024,No,2839,2679,160,5.60,,,20240306,03202406,24,Yes,1
Rio Arriba County,000039,04,35,3504000039,NM,2024,03,06,June 2024,No,17120,16405,715,4.20,,,20240306,03202406,25,Yes,1
